"study_alias","study_desc","nct_number"
I8F-MC-GPIF,Obstructive Sleep Apnea Master Protocol,
I6E-AV-I012,Diagnosing Dementia with Lewy Bodies and Parkinson’s Disease Dementia,
,Clinical Trial Ph2 Miri Combo in Moderate to Severe UC,
I8I-MC-JY01,AKT-1 Inhib I - CONTINUED ACCESS -  Solid Tumors,
J3R-MC-YDAC,QW SAD/MAD Initial Combo HV,
J1A-MC-KDAI,RBA Bridging PK - Ph3 EP formulation vs Ph2 vial HV,
J4V-MC-OMAA,FHD SAD/MAD Pts/HV,
J5B-MC-FHAD,DDI #1 no costs,
I6T-MC-AMBG,Ulcerative Colitis PhaseIII Maintenance,
I6E-AV-I059,AV-45-IIT-059 (LEARN),
,Clinical Trial (Ph2 Trial: RA) SM,
J1I-MC-GZQA,Clinical Trial (Add on to Insulin),
J2J-MC-JZLI,Oncology DDI,
J3T-OX-Y001,LOXO-NGR-Single Patient Protocol,
,Clinical Trial (Ph3B #1Trial) ,
J4Z-VR-G007,DRF study in Sarcopenia,
I1F-MC-B009,Obs prospective study compares Ixekizumab-biologic Trmt PsA,
J2L-MC-EZBB,SAD in heart failure in reduced ejection fraction Pts,
J2T-DM-KGAA,Long-term Extension Study,
J2G-OX-Y049,RET Inhibitor-NSCLC,
J3G-MC-S001,Exploratory nocturnal scratching in atopic dermatitis,
J3W-MC-GZOA,FHD SAD NASH/NAFLD Pts,
I3Y-MC-JPEF,Ph3-Abema-MBC Post Progression Sequencing,
I8H-MC-BDCV,BIF Ph3 MDI T2DM 6 Month vs Glargine,
I3Y-MC-JPEG,Ph3-Abemaciclib-mHSPC,
J2G-CA-O001,Profiling RET fusions in a Canadian papillary thyroid cancer cohort and establish samples for a future RET fusion quality assurance program,
J1G-MC-LAKC,N3PG IV Phase 3 Plaque Lowering,
H7I-MC-S030,Measure gait with wearable sensor devices in chronic pain,
I6E-AV-_A27,The feasibility and reliability of utilizing commercially available quantitative analysis software as an adjunct to the clinical qualitative interpretation of Amyvid brain scans,
,Pediatric study for CWM (age 6-11),
"27210","A Phase 1/2 Open-Label, Dose-Escalation, Safety, Tolerability,
and Efficacy Study of SIG-001 in Adult Patients with Severe or Moderately-Severe
Haemophilia A Without Inhibitors (SIG-001-121)",
H8A-US-B004,GERAS - US Study,
I5Q-US-X003,TOGETHER STUDY: Tandem OnabotulinumtoxinA Galcanezumab Emerging Therapeutic Headache Elimination Research Study,
,Clinical Trial (SAD/MAD) LM non-Oncology,
J5V-MC-ORAA,FHD SAD/MAD,
,Clinical Trial (Ph2 Trial 1: CWM) LM,
J2G-MC-JZPA,Food Effect study in LY3527723,
H7I-AV-S029,ADDI Precision,
J2A-MC-GZGV,LY vs PBO on a background of SGLT2 +/- metformin,
J4N-MC-YFAA,Phase 1 Single-Ascending Dose in Participants with Dyslipidemia and Repeat-Doses in Participants with NAFLD,
J4O-MC-EZHA,FHD SAD/MAD Pts/HV,
J1G-MC-LAKH,BE/Device Bridging HV,
J4P-MC-IYAA,FHD SAD/MAD Pts/HV,
,Clinical Trial (Ph2 Reduction in Craving Prevent Relapse),
,Japan PMSS,
,Clinical Trial (Ph2 PsA Mixed Population 3LY doses vs PBO),
I9M-MC-ONAA,Biomarker Pts,
J5H-MC-KVAA,SAD/MAD SM non-Oncology HV,
I3Y-MC-Y001,Ph 2 - Abemaciclib - OUS Named Patient Use Program,
I4V-MC-JAJA,Safety Post Marketing Registration Study,
J2G-MC-JZJC,RET Inhibitor NSCLC Phase III,
I5Q-NS-O003,"A pilot study to identify responders to galcanezumab in patients with fibromyalgia and its relationship with sensory profiling, CGRP innervation and function (Galfibro)",
,Clinical Trial (Ph1a/b SM St Dose Esc/Expan: 240 pts 20 cyc 35 sites 25 mo Stand,
,Clinical Trial (Ph2 Trial 3: POC DPNP) SM,
W8M-MC-BIM2,Clinical Trial (T2D CWM bima+TZP),
J1P-MC-KFAN,Single-dose Study of the PK of LY3471851 Following SC dosing,
I8H-MC-BDCT,BIF IADA - Device Feasibility,
J4C-OX-JZUA,LOXO-PIK-21001-Ph1-PI3K,
I8F-MC-B007,US Persistence and Real-World Usage: TZP vs Ozempic,
J1G-MC-LAKG,Relative Bioavailability HV,
J4Q-MC-KQAA,FHD TNF-GC HV,
I4V-JE-B037,"Post Approval Safety Study (Preg, Safety,  etc) - JP",
I3Y-JE-B015,"2023LMP - TR 04 - Abemaciclib physician & patient survey",
"25436","A first-in-human study to evaluate the safety, tolerability, and pharmacokinetics of LY3876358 in
healthy participants",
B3D-US-X033,PTH on Craniofacial Osseous Regeneration in Bone,
B3D-US-X032,Stem Cell Recruitment Anabolic v Antiresorptive therapy,
B3D-US-X034,Randomized controlled trial of teriparatide of idiopathic osteoporosis in premenopausal women,
I3Y-IT-B018,"This study evaluates the real-world use of Abemaciclib as adjuvant therapy in high-risk early breast cancer. It’s a retro-prospective observational study conducted across ~15 sites. The primary objectives are to describe the demographic and clinical characteristics of patients and the persistence, discontinuation rate, and reasons for Abemaciclib discontinuation at 6 months post-initiation. Secondary objectives evaluate Abemaciclib treatment effectiveness, adherence, persistence, discontinuation rate, and reasons for discontinuation at various time points post-initiation. Exploratory objectives aim to assess the benefit of Abemaciclib treatment in terms of QoL, health status, and work impairment. Participation will be offered to patients already in treatment with Abemaciclib for no more than 30 days, as per clinical practice. The study will collect data from ~6 assessment visits scheduled according to clinical practice: Baseline, 2-month, 5-month, 11-month, 17-month, 23-month.",
I5B-KL-B002,KR_Ph IV-PMS–Olara+Doxorubicin-Adv Soft Tissue Sarcoma,
I4V-MC-JAIR,Ph3 LY vs PBO in pts with Alopecia Areata,
J4Y-MC-B002,A phase IV non-drug interventional study to evaluate the impact of p-Tau 217 on patient management,
,Clinical Trial (DDI 1),
I8F-JE-B005,Observational Study＿Japan PMSS,
H8H-MC-LAHW,Ph 3 OLT Safety Trials with Lasmiditan in Children,
J4Z-VR-G013,sIBM Open Label Extension CBYM338X2205E1,
I6T-MC-AMCD,Clinical Trial (Ph3 TZP/miri combo UC) LM,
,"Post Approval Safety Study (Preg, Safety,  etc) - CN",
J1S-MC-JAAA,CAMPFIRE - Ph II - MultiCmpd Peds Protocol - Solid Tumors,
J2G-MC-JZJB,RET Inhibitor MTC Phase III,
J2A-JE-GZGB,SAD MAD Pts,
J2W-MC-PYAB,COVID-19 Program,
J2A-MC-GZGT,"Monotherapy in T2D - Orforglipon 3, 12, 36 vs placebo QD
•	optional pre-screening visit
•	up to 4 weeks of screening and lead-in period
•	40-week treatment period (52w in Japan) : dose escalation + dose maintenance
•	2-week safety follow-up period",
J4K-MC-LALA,FHD IL-34 Alzheimer's Disease,
I5T-AV-_001,External Bridging Study between CE-Marked CSF Test and Amyloid PET Trial Criteria,
I7E-AV-_A27,Tauvid Japan Reader Study,
J4Y-AV-S001,"This clinical validation Study includes participants from Study I5T-MC-AACI (AACI) with early symptomatic cognitive impairment, including Alzheimer's Disease. The participants were selected based on their clinical status as well as amyloid and tau status determined by PET scan findings. Data from these participants includes demographic variables, genetic markers such as apolipoprotein E (ApoE), a panel of biomarker   assays from stored plasma samples, and historical amyloid and tau PET scans. Primary objective: to explore the relationship between plasma P-tau217 and amyloid PET. Secondary objectives: 1) to explore the ability of variables such as demography, genetic biomarkers (e.g., APOE), and a panel of biomarker assays, when added to P-tau217, to predict amyloid PET, and 2) to explore plasma AB 42/40 vs amyloid PET.",
I4V-MC-B041,RABBIT RA Registry,
J2T-KL-B004,Post-Marketing Safety Study on EBGLYSS(Lebrikizumab) for Patients in Korea with moderate to severe atopic dermatitis,
J5B-MC-FHAJ,DDI and PGP - no costs,
J5B-MC-FHAI,Clinical Trial (ABA) no costs,
J4Z-VR-G001,FIH (SAD) with POC in disuse atrophy,
W8M-MC-LAA3,Clinical Trial Mono QM,
J4Z-VR-G005,"RESILIENT, sIBM Ph 3",
I8H-MC-BDCI,Recovery from Hypoglycaemia with T2DM PTs,
I8F-MC-GPGN,CVOT,
I5Q-KL-B006,Galcanezumab Cluster Headache PMSS - Korea,
J2A-MC-GZGK,Evaluate tolerability of different dosing regimens,
J2A-MC-GZGU,H2H vs Rybelsus,
I1F-US-X002,Cognitive dysfunction in psoriasis due to decreased cerebral perfusion,
J1B-MC-FRCJ,Relative Bioavailability (RBA) HV,
,Clinical Trial (Ph2a/b Trial: Adult UC) LM,
I8I-MC-JY06,Continued Access LY3023414 from Study CBBA,
I6E-AV-_A26,A study to evaluate the improvement in reader accuracy when using a read method that incorporates commercially available quantitative analysis software as an adjunct to the clinical visual interpretation of Amyvid brain scans,
I3Y-CR-JPBQ,R-Ph III-CDK 4/6 +AI vs Placebo + AI - MBC - 1st line,
I6E-AV-_A23,"18F-AV-45-A23: Brain Health Registry",
I4V-MC-B012,EU RA registries RABBIT (Germany) and BSRBR (UK),
J1I-MC-GZQG,Insulin Secretion and Insulin Sensitivity Pts/HV,
I1F-FH-O015,A Basket Trial of the Safety and Efficacy of Ixekizumab in Participants with Autoimmune Inflammatory Skin Diseases,
J2A-MC-GZPB,Hepatic Organ Impairment Study Pts,
,Clinical Trial (JZQB Part A -not linked to Vault),
J4Z-VR-G002,Diet profiling study,
W8M-MC-LAA1,Clinical Trial Mono QW,
J3Z-MC-OJAA,PRV-PD101 Ph 1/11 PR001A PD-GBA,
J1I-MC-GZBS,RBA Injection Site Study (with ABA) HV,
J1G-MC-LAKF,N3PG 4 Phase 3 Clinical Efficacy,
J3L-MC-EZED,Renal Hybrid Pt/HV Renal,
J4S-MC-KSAA,SAD/MAD HV,
J3L-MC-EZEF,Clinical Trial Ph3 CV Outcomes,
J2T-MC-KGBZ,BE Formulation Comparability HV,
J4B-MC-OKAB,Clinical Trial (Ph3 Trial 1: AD DM; LY v Pbo w/OLE) LM,
J3L-MC-EZEI,Device RBA study HV,
J2T-AP-KGCA,"This is the Almirall trial ADhope

A Phase 3b, Open-label Study to Evaluate the Effectiveness and Safety of Lebrikizumab Treatment in Adults and Adolescents with Moderate-to-Severe Atopic Dermatitis ",
J5U-MC-YGAA,FHD SAD/MAD Pts/HV,
I4V-MC-JAHW,Pediatric Uveitis trial,
I4V-MC-JAHN,"AtD Blinded LTE Rollover for JAHL,JAHM",
J1S-MC-JV01,CAMPFIRE - Ph II - MultiCmpd Peds Ram+Vino+Cyclo - DSRCT,
I7P-MC-DSAD,Phase 2 POC in HS,
I1F-US-I001,Taltz (Ixekizumab) in the Treatment of Bullous Pemphigoid (BP),
I4V-NS-O029,BARICIVID,
I4V-NS-O020,"A pilot study of the use of Janus Kinase Inhibitor, Baricitinib, in the treatment of COVID-19-related pneumonia: a two-step, proof of concept clinical trial 
Baricitinib for coRona virus pnEumonia: a THerapeutic trial 
(BREATH trial)",
I4V-US-X001,"An open-label, pilot study of baricitinib for cutaneous dermatomyositis (DM)",
I1F-NS-E001,Axial Spondyloarthritis International Outcome Assessment (AXIOMA),
J2N-OX-JZNM,LOXO-BTK-20019-BRUIN-321-Ph3-BTK-MCL,
,PMR1 - UK Registry,
J1I-MC-GZBG,C14 Metabolism study HV,
J3X-MC-LYGA,"FHD, SAD/MD HV",
J1G-GH-LAKE,Pharmacokinetic/China PK/Alzheimers/HV,
J1I-MC-GSA2,Chronic Weight Management -2 (with T2DM) OSA DSA,
I4V-MC-B035,Pregnancy Registry Study,
J2A-MC-GZGZ,"Pediatric study for CWM (age 12-17)

Trial alias has been changed to PW01, therefore this record is being canceled.",
J2A-MC-GZPK,BE Study - Blended vs dual-filled capsules HV,
J5X-MC-YJAA,FHD SAD/MAD HV,
J5A-OX-JZWA,LOXO-ENC-23001-Ph 1a/b-ETx-22-Urothelial Carcinoma,
J5B-MC-FHAB,SAD/MAD SM HV/PSO Pts,
H9H-MC-Y001,"Named Patient Use program for the treatment of glioblastoma using galunisertib in continued access patients transitioning from the following trials, H9H-MC-JBAL and H9H-MC-JBAH.",
I3Y-MC-JPBK,JUNIPER_R-Ph III-CDK 4/6 Dual Inhib vs Erlotinib-NSCLC,
I3O-MC-JSBF,R-PhII-Merestinib or Ram + Gem/Cis- Cholangiocaracinoma,
I1F-KL-B006,Ixekizumab PMS - Korea,
I5Q-MC-B005,Pregnancy Registry,
I9S-MC-BTAC,Proof of Signal Psoriasis Pts,
I1F-NS-O008,Ixekizumab Diabetes Intervention Trial (I-DIT),
J2P-MC-LXBF,Clinical Trial (Proof of signal in DSP population),
J2G-OX-Y001,LOXO-292 Expanded Access Protocol LOXO-RET-18037,
J2G-JE-JZJM,JP PMS-Ph IV-Ret Inhibitor-Fusion NSCLC,
I9Y-OX-JDHC,LOXO-IDH-20002-Ph1-IDH1-CCA,
I8H-MC-BDDC,China-PK,
J2A-MC-GZGN,Capsule vs Tablet Formulation RBA Study Pts,
J1I-MC-GZBX,RBA - KwikPen vs. Autoinjector HV,
J2N-OX-Y002,LOXO-305 Single Patient Protocols,
I1F-MC-B020,Taltz Device Post Market Clinical Follow Up (PMCF) Survey Study,
J4H-MC-FVAB,"J/C PK,  High Dose Study HV",
J2O-MC-EKBC,Phase 2 study in patients with elevated Lp(a),
I8F-MC-GPHV,Obese Pediatric PK 6 to 11 yo Pts,
,Clinical Trial (Phase 2 POC in Mild to Moderate CD),
I1F-NS-O017,Assessment of microscopic bowel inflammation variation at six months in spondyloarthritic patients treated or not by a biologic treatment,
I1F-US-X001,"Open Label Study Evaluating Taltz in combination with EnstilarÂ® (calcipotriene and betamethasone dipropionate) Foam, 0.005%/0.064% in Psoriasis Patients.",
I1F-NS-O014,Pressure pain threshold and itch sensitivity in psoriasis patients before and under therapy with IL-17A blockers compared to healthy controls,
I1F-US-X004,Open-label Study of Ixekizumab for the Treatment of Nail Psoriasis (PsO),
I1F-US-I008,Ixekizumab for the management of refractory non-infectious uveitis: a proof of concept study,
I1F-NS-O006,"Association of genital psoriasis, stigmatization and sexuality - new insights for optimized disease management",
I1F-NS-O010,Next generation sequencing of patients enrolled in the German Psoriasis Registry PsoBest to individualize and optimize management of patients with psoriasis (PsoBest Bioscience),
I1F-NS-O016,Clinical and ultrasound assessment of the therapeutic response to Ixekizumab in PsA dactlylitis,
I1F-NS-O004,Mapping of Immunopathological Characteristics and Immunocellular Mechanisms in patients with Psoriatic Arthritis (PsA) in Treatment with Interleukin 17 inhibitor (Ixekizumab) or Tumour Necrosis Factor-Î± inhibitor (Adalimumab),
I1F-OE-O001,Exploring the proliferative response of human dendritic cells induced by T-cells or therapeutic antibodies,
J2N-KL-B009,Observational Study on Jaypirca(Pirtobrutinib) for the treatment of adult patients with relapsed or refractory Mantle Cell Lymphoma(MCL) who have received a prior BTK inhibitor,
J4Z-VR-G003,Cardiac safety study in older adults,
J2A-MC-GZPO,OFG Ph3 Tablet Master Protocol,
I1F-US-I006,Skin Microbiome of Inverse Psoriasis,
I1F-NS-O005,UItrasound-based early diagnosis of psoriasis arthritis focused on dactylitis. Validation of ultrasound as a tool for measuring dactylitis,
I1F-US-I005,"A pilot study of a single, easily measurable outcome for psoriasis",
I1F-NS-O012,USE OF ANTI-IL17A IN SARS AND MAS ASSOCIATED WITH NEW CORONAVIRUS (SARS-CoV-2) INFECTION.,
I1F-US-I009,Radiographic progression in patients with ankylosing spondylitis treated with Ixekizumab,
I3O-MC-E001,A Phase II Study of Merestinib in Non-Small Cell Lung Cancers Harboring MET Exon 14 Mutations,
I3O-MC-E003,Merestinib on Bone Metastases in Breast Cancer,
I3O-MC-E002,Merestinib with LY2874455 in Relapsed or Refractory Acute Myeloid Leukemia,
I5B-BP-O003,Making a difference to the health-related quality of life of sarcoma patients,
I5B-US-I002,Phase I Trial of Olaratumab with Sorafenib for Desmoid Tumors,
I5B-US-I001,A phase II trial of doxorubicin +olaratumab in the treatment of recurrent or persistent carcinosarcoma of the uterus or ovary or fallopian tube,
I5B-SB-O002,OLAREDO: Safety and efficacy of olaratumab and doxorubicin rechallenge in anthracycline pretreated metastatic sarcoma patients. An exploratory phase-II study,
I5B-US-X001,A phase 2 study of doxorubicin and olaratumab in chondrosarcoma,
I5Q-NS-O002,CGRP LEVELS AND MABs,
I5Q-US-X001,Novel insight into migraine pathophysiology and galcanezumab mechanisms of action,
I1F-NS-O011,IDENTIFICATION OF SYNOVIAL BIOMARKERS OF RESPONSE TO IXEKIZUMAB IN REFRACTORY PSORIATIC ARTHRITIS: THE PRECISE STUDY,
H0P-MC-CPMP,Pain Master Protocol,
I5B-XM-O001,Phase I/ II clinical trial of Olaratumab plus Trabectedin in patients with soft-tissue sarcoma,
I1F-US-X003,The effect of IL-17A inhibition on the natural history of idiopathic subglottic stenosis,
I1F-NS-O007,Interleukin-17 and osteoclastogenesis in psoriatic arthritis: The effects of IL-17 blockade,
I1F-NS-O020,"Objective evaluation, using ultra high frequency ultrasound (UHFUS), of nail psoriasis in patients treated with ixekizumab",
I6E-AV-I054,An investigation of the interaction between amyloid accumulation and neuroinflammation in post-stroke cognitive impairment using Florbetapir and 18F-FEPPA.,
I6E-AV-I066,Imaging of Islet Amyloid in Humans,
I6E-AV-I065,"Focused Imaging for the Neurodegenerative Disease - Chronic Traumatic Encephalopathy (""FIND-CTE"")",
I6E-AV-I014,"Amyloid Imaging with Florbetapir in dementia, MCI, and Healthy Aging",
I6E-AV-I053,Diagnostic Utility of Florbetapir F18 in Peripheral Nerve Amyloidosis,
I6E-AV-I007,Amyloid and Glucose PET Imaging in Alzheimer and Vascular Cognitive Impairment Patients with Significant White Matter Disease,
J2G-NS-O009,The ROME trial from histology to target: the road to personalize  target therapy and immunotherapy,
J2G-CA-O003,TAPESTRY-NGS,
J2G-CA-O002,Upfront Comprehensive Molecular Profiling for Lung Cancer Patients,
J2G-CA-O004,Community-based delivery of  rapid plasma and tissue next-generation sequencing in non-small cell lung cancer.,
J2G-NS-O010,‘The Finnish National Study to Facilitate Patient Access to Targeted Anti-cancer Drugs to determine the Efficacy in Treatment of Advanced Cancers with a Known Molecular Profile’,
J2G-US-X001,RET Fusion Diagnostics:  Comparing the Sensitivity and Specificity of Available Assays,
J2G-US-JZJH,S1900B and S1900F LungMAP Phase II Carboplatin and Pemetrexed with or without Selpercatinib in NSCLC previously treated with RET-directed therapy,
J2G-US-I002,Restoration of Radioiodine Uptake by Selpercatinib in Radioiodine-Refractory RET-Fusion Thyroid Cancer,
J2G-NS-O008,ProTarget - A Danish Nationwide Clinical Trial on Targeted Cancer Treatment based on Genomic Profiling,
J2G-JE-E001,Phase II Study of Selpercatinib in Patients with Advanced Non-Small-Cell Lung Carcinoma harboring RET Rearrangement detected by Liquid Biopsy,
J2G-CA-O005,Implementation of a Provincial Collaborative Clinical Genomics Network for Prospective Screening of Actionable Alterations in Lung Cancer in Quebec,
J2G-NS-O007,Improving public cancer care by implementing precision medicine in Norway,
J2G-US-I001,Neoadjuvant/Adjuvant Treatment with Loxo 292 in RET-altered Thyroid Cancers,
J2G-OX-JZJW,Pediatric Match,
J2G-NS-I003,"A Multicenter Thyroid Oncology Group (ITOG) Phase 2 Study of Selpercatinib in Patients with Completely Resected, Non-Metastatic, RET-Mutated Medullary Thyroid Cancer and Rapid Calcitonin and/or CEA Doubling Times",
J2G-US-X003,Screening Patients with Suspected Early-Stage Lung Cancers for Actionable Oncogene Targets,
J2G-US-X002,Fusion detection program in aggressive solid tumors,
J2G-US-I004,"Selpercatinib to enhance RAI avidity in children, adolescents, and young adults with newly diagnosed differentiated thyroid cancers harboring RET fusions",
J2G-NS-O006,"A Dutch National Study on behalf of the Center for Personalized Cancer Treatment (CPCT) to Facilitate Patient Access to Commercially Available, Targeted Anti-cancer Drugs to determine the Potential Efficacy in Treatment of Advanced Cancers with a Known Molecular Profile. The Drug Rediscovery Protocol (DRUP trial)",
J2G-US-I005,Phospho-Proteomics Basket Trial: Selecting Therapeutics Using Phosphoproteomics (STUPP) ,
I4T-US-I031,A phase 1/2 study of combination lorlatinib and ramucirumab in patients with advanced ALK-rearranged lung cancers,
H6D-HL-O014,Retrospective data:Tadalafil in ED  clinical population,
B3D-BP-O044,Teriparatide vs. Standard care for severe Osteoporosis,
B3D-BP-O046,Teriparatide followed by Zoledronic acid versus placebo,
I8B-NS-I004,"A randomized, controlled, crossover trial to assess a fully automated, dual-hormone (insulin-and-pramlintide) delivery system without carbohydrate counting in regulating glucose levels in adults with type 1 diabetes.",
B9E-SB-O370,Multizentrische Phase I/II-Studie zur Wirksamkeit einer kombinierten Rituximab/Gemcitabin/Oxaliplatin-Therapie bei rezidivierten indolenten niedrigmalignen Lymphomen,
B9E-SN-O507,"An open labeled, multicentre, randomized phase II trial of combination Gemcitabine and Carboplatin",
B3D-AY-O033,PTH on Craniofacial Osseous Regeneration in Bone,
B9E-SB-O459,Prospective randomized study to compare extensive versus limited pelvic lymphadenectomy in urinary bladder carcinoma surgery.,
B3D-CA-O038,Effect of 2yr of Teriparatide on Fracture healing in Women,
B9E-BP-O364,BTOG 2: A British Thoracic Onc  Grp PHIII trial of gemcitabine+cisplatin at 50 mg/m2 versus gemcitabine plus cisplatin at 80 mg/m2 or gemcitabine plus carboplatin AUC 5 in stage IIIB/IV NSCLC,
Alias1234,title,
B9E-SB-O506,"SUCCESS B-Trial: Randomized phase III trial benefits of adjuvant FEC followed by docetaxel single agent vs. combinded docetaxel gem  based chemotherapy in early, HER2-neu positiveBC",
H6O-AY-O011,Preventing diabetic ketoacidosis in new patients with T1DM,
H8O-FR-O022,Intravenous exenatide (ByettaÂ®) versus insulin for perioperative glycemic control in cardiac surgery: the open-labeled randomized phase II/III ExStress study.,
F1D-XB-O335,IIT Encephaography,
I6T-NS-O001,Development and validation of the fecal URGENcy index Through two European cohorts (The URGENT Index),
I4X-US-I006,A Phase 1 Study of Osimertinib and Necitumumab and Tucatinib in Advanced EGFR-mutant NSCLC with Acquired Resistance to Osimertinib,
B4Z-XM-O028,NEUROPSYCHOLOGICAL EVALUATION OF THE EFFICACY ATX IN ADHD,
B3D-SZ-O030,Effect of 1-34 rh-PTH teriparatide in Anorexia Nervosa Pts,
H6D-IT-O021,"IIT Tadalafil  Double-Bind, Placebo-Controlled Study",
F1D-JE-O340,BP dep olanzapine plus antidepressant,
B9E-IH-O481,Randomized phase III trial benefit of adjuvant chemotherapy w/ gem+cis in nasopharyngeal carcinoma patients w/residual EBV DNA following radiotherapy with/without concurrent cisplatin,
B3D-CP-O032,Teriparatide in Patients with Osteogenes Imperfecta,
F1D-US-X318,Olanzapine vs. Placebo for Outpatients with Anorexia Nervosa,
H6O-PL-O013,A Multinational Study of Numeracy Skills in Children with Diabetes and Their Caregivers,
B3D-JE-O045,Effects of TPTD on bone microstructure and bone strength,
